order_id,customer_id,product_id,order_date,quantity,discount,payment_method,name,gender,age,region,signup_date,product_name,category_id,price,category_name,return_id,net_price,is_returned,month,discount_bin
39,145,50,2024-10-14,3,15,Card,Uthkarsh Bhandari,Male,40,Kolkata,2022-02-03,FireBrick Jeans,1,1568.28,Clothing,,3999.114,0,2024-10,10–20%
40,171,57,2024-12-27,5,5,Card,Saksham Yadav,Female,31,Delhi,2023-12-27,MediumOrchid Puzzle,11,1512.96,Toys,,7186.5599999999995,0,2024-12,0–10%
41,186,91,2025-02-17,1,15,UPI,Kiaan Badami,Female,48,Mumbai,2023-01-25,DarkOrange Flip‑Flops,2,2263.41,Footwear,,1923.8984999999998,0,2025-02,10–20%
42,147,35,2025-01-16,2,15,UPI,Baiju Grover,Female,26,Delhi,2021-08-24,PapayaWhip Laptop,4,88790.03,Laptops,94.0,150943.051,1,2025-01,10–20%
43,54,149,2025-05-29,3,10,Card,Hiran Sachar,Female,54,Mumbai,2021-09-29,WhiteSmoke Bluetooth Speaker,20,14318.63,Music & Instruments,,38660.301,0,2025-05,0–10%
44,114,187,2024-07-19,3,5,UPI,Tanya Bhakta,Female,46,Hyderabad,2022-10-20,Yellow DSLR Camera,18,225198.26,Cameras,32.0,641815.041,1,2024-07,0–10%
45,83,104,2025-06-20,5,0,Card,Oorja Tak,Female,45,Kolkata,2021-09-04,MistyRose Digital Thermometer,17,3848.38,Health & Personal Care,,19241.9,0,2025-06,0%
46,84,180,2025-05-04,3,5,Cash on Delivery,Krish Shan,Male,33,Delhi,2022-09-23,GoldenRod DSLR Camera,18,219756.43,Cameras,,626305.8255,0,2025-05,0–10%
47,1,140,2024-09-30,5,0,Cash on Delivery,Nirvaan Kakar,Female,43,Jaipur,2021-10-10,GhostWhite Dining Chair,14,30877.87,Furniture,,154389.35,0,2024-09,0%
48,144,197,2024-12-04,5,0,Card,Vedika Bhatnagar,Female,27,Mumbai,2022-09-08,GoldenRod Bracelet,16,31238.85,Jewellery,,156194.25,0,2024-12,0%
49,152,65,2024-09-03,3,20,Cash on Delivery,Fateh Kannan,Female,59,Delhi,2024-06-16,PaleGoldenRod Jeans,1,2254.78,Clothing,110.0,5411.472000000001,1,2024-09,10–20%
50,192,169,2024-07-03,3,20,UPI,Misha Lata,Female,37,Pune,2023-10-09,Aqua Acoustic Guitar,20,37325.59,Music & Instruments,,89581.416,0,2024-07,10–20%
51,186,177,2024-08-16,3,0,Card,Kiaan Badami,Female,48,Mumbai,2023-01-25,LightSlateGray Seat Cover,13,705.36,Automotive Accessories,3.0,2116.08,1,2024-08,0%
52,152,156,2025-02-03,1,25,UPI,Fateh Kannan,Female,59,Delhi,2024-06-16,Turquoise Masala Pack,10,1785.23,Groceries,,1338.9225000000001,0,2025-02,20–30%
53,186,3,2024-10-10,4,5,UPI,Kiaan Badami,Female,48,Mumbai,2023-01-25,SandyBrown Flip‑Flops,2,2375.71,Footwear,128.0,9027.698,1,2024-10,0–10%
54,101,96,2024-11-20,4,30,UPI,Devansh Devi,Female,19,Kolkata,2023-04-15,SkyBlue Dining Chair,14,20273.41,Furniture,,56765.547999999995,0,2024-11,20–30%
55,192,61,2024-09-11,5,20,UPI,Misha Lata,Female,37,Pune,2023-10-09,LightGreen Mixer Grinder,8,7600.72,Kitchen Appliances,,30402.88,0,2024-09,10–20%
56,169,114,2025-01-24,1,30,Card,Saira Master,Female,57,Delhi,2022-01-10,Olive Electric Kettle,8,10754.22,Kitchen Appliances,148.0,7527.953999999999,1,2025-01,20–30%
57,161,102,2025-06-28,1,20,UPI,Rasha Sibal,Male,57,Pune,2022-02-25,DarkGray Smartphone,3,43187.84,Smartphones,,34550.272,0,2025-06,10–20%
58,186,140,2024-08-12,2,20,UPI,Kiaan Badami,Female,48,Mumbai,2023-01-25,GhostWhite Dining Chair,14,30877.87,Furniture,144.0,49404.592000000004,1,2024-08,10–20%
59,125,54,2024-09-22,2,30,UPI,Bhavin Sekhon,Female,30,Ahmedabad,2024-04-18,PapayaWhip Laptop,4,53113.03,Laptops,,74358.242,0,2024-09,20–30%
60,184,6,2025-04-09,4,25,UPI,Anaya Sehgal,Female,18,Kolkata,2023-02-27,DarkSlateBlue Remote Car,11,1008.04,Toys,,3024.12,0,2025-04,20–30%
61,95,36,2025-02-02,1,10,UPI,Ahana  Chauhan,Female,42,Delhi,2023-09-26,Thistle Smartphone,3,42388.83,Smartphones,,38149.947,0,2025-02,0–10%
62,15,118,2025-05-05,3,30,Card,Lavanya Lall,Male,19,Chennai,2023-05-05,LawnGreen Cricket Bat,12,4818.19,Sports Equipment,,10118.198999999999,0,2025-05,20–30%
63,65,85,2024-09-13,5,0,Card,Ishaan Chauhan,Female,31,Delhi,2023-12-23,IndianRed Smart Watch,15,5520.99,Watches,,27604.949999999997,0,2024-09,0%
64,113,51,2024-07-03,2,5,UPI,Hridaan Bassi,Male,43,Hyderabad,2023-06-21,MediumAquaMarine Smart Watch,15,6834.25,Watches,,12985.074999999999,0,2024-07,0–10%
65,140,90,2025-02-16,3,25,UPI,Aayush Jani,Female,37,Pune,2021-12-31,Plum Cricket Bat,12,6096.6,Sports Equipment,,13717.350000000002,0,2025-02,20–30%
66,163,3,2024-07-20,5,20,Card,Amira Warrior,Female,57,Ahmedabad,2024-01-17,SandyBrown Flip‑Flops,2,2375.71,Footwear,,9502.84,0,2024-07,10–20%
67,37,46,2024-10-02,1,30,UPI,Rhea Shah,Male,56,Hyderabad,2024-02-07,DarkTurquoise Olive Oil,10,768.18,Groceries,,537.7259999999999,0,2024-10,20–30%
68,30,54,2025-03-17,2,30,Card,Riya Chatterjee,Female,34,Ahmedabad,2023-08-26,PapayaWhip Laptop,4,53113.03,Laptops,,74358.242,0,2025-03,20–30%
69,11,66,2024-11-07,2,10,UPI,Darshit Sem,Male,32,Bengaluru,2024-06-27,Plum Gaming Console,19,30047.65,Gaming Consoles,,54085.770000000004,0,2024-11,0–10%
70,188,137,2025-03-15,4,30,UPI,Dhanush Jaggi,Female,41,Kolkata,2024-01-28,Sienna Smartphone,3,62141.37,Smartphones,,173995.836,0,2025-03,20–30%
71,32,38,2025-06-21,2,5,Card,Drishya Dave,Male,30,Hyderabad,2023-04-16,Silver Action Cam,18,15050.15,Cameras,,28595.284999999996,0,2025-06,0–10%
72,2,169,2024-11-22,1,5,Card,Kiara Dhawan,Male,28,Chennai,2023-05-10,Aqua Acoustic Guitar,20,37325.59,Music & Instruments,,35459.31049999999,0,2024-11,0–10%
73,138,114,2024-11-07,4,25,UPI,Abram Dugar,Male,44,Bengaluru,2022-12-14,Olive Electric Kettle,8,10754.22,Kitchen Appliances,,32262.659999999996,0,2024-11,20–30%
74,124,180,2025-04-17,5,5,UPI,Romil Mahal,Female,43,Jaipur,2023-02-03,GoldenRod DSLR Camera,18,219756.43,Cameras,,1043843.0424999999,0,2025-04,0–10%
75,174,81,2025-04-20,2,5,UPI,Arnav Sathe,Female,47,Ahmedabad,2021-09-30,PaleGoldenRod Basmati Rice,10,957.35,Groceries,,1818.965,0,2025-04,0–10%
76,22,126,2025-01-04,4,5,UPI,Taimur Badami,Female,51,Hyderabad,2023-10-09,MediumAquaMarine Smart Watch,15,4828.51,Watches,,18348.338,0,2025-01,0–10%
77,73,107,2024-08-13,1,30,UPI,Aaina Swaminathan,Female,20,Hyderabad,2024-05-01,HoneyDew Wardrobe,14,20747.94,Furniture,,14523.557999999997,0,2024-08,20–30%
78,118,41,2024-11-25,1,20,Cash on Delivery,Jayesh Issac,Female,26,Jaipur,2023-07-16,PaleGreen Saree,1,2697.09,Clothing,,2157.672,0,2024-11,10–20%
79,55,60,2025-05-10,3,10,UPI,Elakshi Kota,Male,44,Jaipur,2023-11-03,Teal Saree,1,1096.45,Clothing,,2960.4150000000004,0,2025-05,0–10%
80,187,179,2025-04-10,4,30,Card,Lakshay Varughese,Male,38,Kolkata,2023-06-25,DeepSkyBlue Seat Cover,13,4632.7,Automotive Accessories,,12971.56,0,2025-04,20–30%
81,30,53,2024-07-27,5,5,NetBanking,Riya Chatterjee,Female,34,Ahmedabad,2023-08-26,Lime Digital Thermometer,17,2126.07,Health & Personal Care,,10098.8325,0,2024-07,0–10%
82,181,123,2025-01-19,1,5,UPI,Neelofar Mammen,Female,38,Kolkata,2023-03-09,Gainsboro Bracelet,16,57860.63,Jewellery,,54967.59849999999,0,2025-01,0–10%
83,89,120,2025-04-11,1,0,Card,Tiya Hayer,Male,38,Hyderabad,2023-12-26,GreenYellow Dining Chair,14,26100.44,Furniture,,26100.44,0,2025-04,0%
84,21,131,2025-01-04,3,15,UPI,Badal Sha,Female,43,Hyderabad,2021-11-18,Bisque Notebook,5,269.35,Books,,686.8425000000001,0,2025-01,10–20%
85,82,148,2024-09-07,4,5,Card,Elakshi Bali,Female,59,Pune,2022-02-15,Maroon Notebook,5,894.41,Books,,3398.758,0,2024-09,0–10%
86,20,113,2025-06-19,5,10,UPI,Hridaan Andra,Female,31,Delhi,2023-03-28,LawnGreen DSLR Camera,18,18124.73,Cameras,28.0,81561.285,1,2025-06,0–10%
87,113,117,2025-06-11,2,0,Cash on Delivery,Hridaan Bassi,Male,43,Hyderabad,2023-06-21,PeachPuff Building Blocks,11,1900.13,Toys,,3800.26,0,2025-06,0%
88,167,22,2024-12-05,3,5,UPI,Onkar Edwin,Male,20,Bengaluru,2024-03-25,MediumAquaMarine Puzzle,11,2027.87,Toys,,5779.429499999999,0,2024-12,0–10%
89,35,43,2024-08-26,1,15,UPI,Lakshay Devan,Male,34,Ahmedabad,2023-09-25,Gray Comic,5,717.78,Books,,610.1129999999999,0,2024-08,10–20%
90,29,177,2024-09-04,2,25,NetBanking,Prerak Bhasin,Male,48,Chennai,2022-02-22,LightSlateGray Seat Cover,13,705.36,Automotive Accessories,,1058.04,0,2024-09,20–30%
91,110,157,2024-12-09,4,15,UPI,Rasha Bhagat,Male,23,Pune,2023-06-21,DarkOrange DSLR Camera,18,101723.41,Cameras,,345859.594,0,2024-12,10–20%
92,56,76,2025-01-27,3,15,UPI,Manikya Ganesan,Male,25,Mumbai,2024-06-22,Navy Face Cream,9,1726.03,Beauty,,4401.3765,0,2025-01,10–20%
93,116,163,2024-10-29,5,0,UPI,Tarini Hora,Female,39,Bengaluru,2024-03-22,MediumBlue Lipstick,9,346.17,Beauty,,1730.8500000000001,0,2024-10,0%
94,183,57,2024-07-19,1,30,UPI,Vidur Setty,Male,26,Bengaluru,2023-08-04,MediumOrchid Puzzle,11,1512.96,Toys,,1059.072,0,2024-07,20–30%
95,181,159,2025-03-04,1,25,Card,Neelofar Mammen,Female,38,Kolkata,2023-03-09,LightSalmon Pen Set,6,214.12,Stationery,,160.59,0,2025-03,20–30%
96,176,120,2024-08-03,5,0,Card,Vedika Sawhney,Male,56,Ahmedabad,2023-01-06,GreenYellow Dining Chair,14,26100.44,Furniture,,130502.2,0,2024-08,0%
97,67,182,2025-06-26,1,30,UPI,Himmat Rajan,Female,55,Pune,2023-10-20,LightGreen Building Blocks,11,2395.42,Toys,,1676.7939999999999,0,2025-06,20–30%
98,183,39,2024-12-27,2,25,NetBanking,Vidur Setty,Male,26,Bengaluru,2023-08-04,RosyBrown Puzzle,11,3353.03,Toys,,5029.545,0,2024-12,20–30%
99,32,88,2024-07-16,4,10,UPI,Drishya Dave,Male,30,Hyderabad,2023-04-16,MediumSpringGreen Notebook,5,604.3,Books,,2175.48,0,2024-07,0–10%
100,58,40,2024-10-21,1,0,UPI,Manjari Kohli,Female,32,Ahmedabad,2022-12-06,Cornsilk Formal Shoes,2,1948.25,Footwear,,1948.25,0,2024-10,0%
101,78,115,2025-06-13,3,30,UPI,Heer Kibe,Male,50,Pune,2022-01-21,PaleGreen Wardrobe,14,14528.77,Furniture,,30510.416999999998,0,2025-06,20–30%
102,69,103,2024-10-27,2,10,Card,Gatik Chandra,Male,20,Chennai,2023-11-03,DarkBlue Action Cam,18,203384.45,Cameras,,366092.01,0,2024-10,0–10%
103,28,80,2024-10-03,3,15,UPI,Hunar Bhasin,Male,34,Mumbai,2024-04-15,Teal Car Vacuum,13,4769.56,Automotive Accessories,126.0,12162.378,1,2024-10,10–20%
104,72,193,2025-02-21,4,20,Card,Piya Khanna,Female,32,Kolkata,2023-02-18,DarkGray Action Cam,18,177715.85,Cameras,119.0,568690.7200000001,1,2025-02,10–20%
105,109,22,2024-11-09,4,15,UPI,Jayan Ahluwalia,Female,37,Delhi,2023-08-25,MediumAquaMarine Puzzle,11,2027.87,Toys,,6894.758,0,2024-11,10–20%
106,60,142,2025-02-04,1,0,NetBanking,Tejas Varkey,Female,50,Jaipur,2024-05-16,LightSlateGray Seat Cover,13,6336.76,Automotive Accessories,,6336.76,0,2025-02,0%
107,13,14,2025-06-18,1,30,NetBanking,Dishani Kaul,Male,37,Jaipur,2023-03-04,DimGray Remote Car,11,2843.94,Toys,,1990.7579999999998,0,2025-06,20–30%
108,18,119,2025-02-01,1,5,UPI,Abram Butala,Male,35,Pune,2023-03-16,Olive Study Table,14,23953.3,Furniture,,22755.635,0,2025-02,0–10%
109,179,114,2025-05-14,2,0,Cash on Delivery,Lakshay Lall,Male,42,Ahmedabad,2023-07-14,Olive Electric Kettle,8,10754.22,Kitchen Appliances,,21508.44,0,2025-05,0%
110,50,187,2024-07-17,3,10,UPI,Seher Wali,Female,55,Hyderabad,2022-07-03,Yellow DSLR Camera,18,225198.26,Cameras,,608035.302,0,2024-07,0–10%
111,43,195,2024-09-19,5,20,UPI,Anaya Sachdev,Male,50,Jaipur,2021-11-26,BlueViolet Digital Thermometer,17,5870.29,Health & Personal Care,,23481.160000000003,0,2024-09,10–20%
112,85,198,2024-07-10,2,25,Card,Vanya Sama,Female,45,Kolkata,2023-03-20,SaddleBrown Marker Pack,6,345.38,Stationery,,518.0699999999999,0,2024-07,20–30%
113,46,45,2025-01-01,5,0,Card,Pranay Sharma,Male,55,Jaipur,2023-07-23,DarkRed Phone Mount,13,2587.08,Automotive Accessories,,12935.4,0,2025-01,0%
114,24,75,2025-01-02,5,30,Cash on Delivery,Badal Bhatia,Female,24,Hyderabad,2021-10-26,MediumAquaMarine Flip‑Flops,2,1812.67,Footwear,,6344.345,0,2025-01,20–30%
115,5,11,2025-04-08,5,0,UPI,Reyansh Gandhi,Female,37,Ahmedabad,2024-01-31,Snow Novel,5,397.74,Books,86.0,1988.7,1,2025-04,0%
116,158,66,2024-07-13,1,25,Card,Nishith Soman,Female,38,Delhi,2024-05-17,Plum Gaming Console,19,30047.65,Gaming Consoles,,22535.737500000003,0,2024-07,20–30%
117,43,60,2025-06-04,5,25,Card,Anaya Sachdev,Male,50,Jaipur,2021-11-26,Teal Saree,1,1096.45,Clothing,,4111.6875,0,2025-06,20–30%
118,53,57,2025-02-19,3,5,UPI,Vedika Upadhyay,Female,24,Chennai,2023-08-10,MediumOrchid Puzzle,11,1512.96,Toys,,4311.936,0,2025-02,0–10%
119,152,64,2025-02-12,1,15,Card,Fateh Kannan,Female,59,Delhi,2024-06-16,LightGray Silver Necklace,16,58660.11,Jewellery,,49861.0935,0,2025-02,10–20%
120,103,88,2024-11-03,3,10,UPI,Samaira Bhagat,Male,55,Hyderabad,2023-09-07,MediumSpringGreen Notebook,5,604.3,Books,,1631.61,0,2024-11,0–10%
121,142,24,2025-06-29,4,10,UPI,Mohanlal Devan,Male,37,Hyderabad,2023-01-09,Brown Building Blocks,11,822.9,Toys,,2962.44,0,2025-06,0–10%
122,164,97,2025-06-29,3,10,UPI,Baiju Sangha,Male,26,Chennai,2024-06-12,LightPink Acoustic Guitar,20,20123.48,Music & Instruments,,54333.396,0,2025-06,0–10%
123,154,146,2024-07-27,5,15,UPI,Ehsaan Bahri,Male,25,Pune,2022-09-02,MistyRose Bluetooth Speaker,20,36688.33,Music & Instruments,,155925.40250000003,0,2024-07,10–20%
124,13,104,2024-09-26,4,30,UPI,Dishani Kaul,Male,37,Jaipur,2023-03-04,MistyRose Digital Thermometer,17,3848.38,Health & Personal Care,,10775.464,0,2024-09,20–30%
125,21,21,2025-02-16,5,0,Card,Badal Sha,Female,43,Hyderabad,2021-11-18,PaleGoldenRod Bracelet,16,21540.73,Jewellery,,107703.65,0,2025-02,0%
126,90,66,2025-05-11,2,20,UPI,Kiara Ravi,Male,49,Ahmedabad,2022-08-17,Plum Gaming Console,19,30047.65,Gaming Consoles,,48076.240000000005,0,2025-05,10–20%
127,98,115,2025-03-11,5,20,UPI,Mishti Mani,Male,19,Ahmedabad,2022-05-26,PaleGreen Wardrobe,14,14528.77,Furniture,,58115.08000000001,0,2025-03,10–20%
128,40,55,2024-07-21,4,30,Card,Ivana Wason,Female,55,Kolkata,2024-06-14,WhiteSmoke Gaming Console,19,16921.41,Gaming Consoles,,47379.948,0,2024-07,20–30%
129,43,191,2025-03-16,5,30,UPI,Anaya Sachdev,Male,50,Jaipur,2021-11-26,LightSeaGreen Cricket Bat,12,9463.9,Sports Equipment,,33123.65,0,2025-03,20–30%
130,59,196,2024-07-20,4,25,Card,Vardaniya Varkey,Female,24,Ahmedabad,2022-11-12,Yellow Flip‑Flops,2,3289.1,Footwear,,9867.3,0,2024-07,20–30%
131,49,74,2025-06-23,2,30,Card,Drishya Magar,Female,35,Ahmedabad,2023-11-11,Peru Wall Art,7,2034.4,Home Decor,,2848.16,0,2025-06,20–30%
132,175,43,2024-09-08,5,30,Cash on Delivery,Inaaya  Kata,Female,42,Kolkata,2024-06-19,Gray Comic,5,717.78,Books,1.0,2512.2299999999996,1,2024-09,20–30%
133,147,142,2024-11-01,4,25,UPI,Baiju Grover,Female,26,Delhi,2021-08-24,LightSlateGray Seat Cover,13,6336.76,Automotive Accessories,,19010.28,0,2024-11,20–30%
134,140,78,2025-04-07,4,5,UPI,Aayush Jani,Female,37,Pune,2021-12-31,MediumSlateBlue Basmati Rice,10,1820.11,Groceries,,6916.418,0,2025-04,0–10%
135,36,154,2025-05-29,4,25,Card,Amani Sankaran,Male,46,Bengaluru,2023-09-29,Crimson Smartphone,3,23248.77,Smartphones,95.0,69746.31,1,2025-05,20–30%
136,122,11,2024-09-05,4,10,Card,Shray Lata,Male,49,Hyderabad,2022-01-17,Snow Novel,5,397.74,Books,,1431.864,0,2024-09,0–10%
137,94,89,2025-04-30,5,0,UPI,Jayant Kadakia,Female,31,Pune,2024-05-23,SaddleBrown Bracelet,16,12010.04,Jewellery,,60050.200000000004,0,2025-04,0%
138,108,159,2025-06-05,1,5,UPI,Anahita Baral,Female,48,Mumbai,2023-03-20,LightSalmon Pen Set,6,214.12,Stationery,,203.414,0,2025-06,0–10%
139,33,159,2024-11-30,3,30,Cash on Delivery,Sara Deshmukh,Male,44,Kolkata,2024-06-25,LightSalmon Pen Set,6,214.12,Stationery,5.0,449.652,1,2024-11,20–30%
140,108,43,2025-01-16,4,25,Card,Anahita Baral,Female,48,Mumbai,2023-03-20,Gray Comic,5,717.78,Books,,2153.34,0,2025-01,20–30%
141,127,100,2024-12-12,1,15,Cash on Delivery,Piya Lalla,Male,49,Chennai,2023-08-12,LightSalmon Digital Thermometer,17,1885.24,Health & Personal Care,,1602.454,0,2024-12,10–20%
142,87,89,2024-11-05,5,15,UPI,Damini Varghese,Male,39,Jaipur,2022-01-26,SaddleBrown Bracelet,16,12010.04,Jewellery,,51042.670000000006,0,2024-11,10–20%
143,62,159,2024-10-12,2,25,UPI,Jiya Tailor,Female,21,Chennai,2023-02-16,LightSalmon Pen Set,6,214.12,Stationery,,321.18,0,2024-10,20–30%
144,169,87,2025-04-18,4,5,Card,Saira Master,Female,57,Delhi,2022-01-10,PaleGreen Wardrobe,14,23347.2,Furniture,,88719.36,0,2025-04,0–10%
145,19,170,2025-04-30,1,5,Card,Parinaaz Jani,Female,53,Chennai,2022-06-05,PaleVioletRed Smart Watch,15,12391.74,Watches,,11772.152999999998,0,2025-04,0–10%
146,101,142,2025-06-10,1,25,UPI,Devansh Devi,Female,19,Kolkata,2023-04-15,LightSlateGray Seat Cover,13,6336.76,Automotive Accessories,38.0,4752.57,1,2025-06,20–30%
147,31,50,2025-03-07,2,15,UPI,Armaan Agate,Male,48,Chennai,2023-12-19,FireBrick Jeans,1,1568.28,Clothing,,2666.076,0,2025-03,10–20%
148,50,17,2024-12-03,1,25,NetBanking,Seher Wali,Female,55,Hyderabad,2022-07-03,DarkGray Hand Sanitizer,17,4139.54,Health & Personal Care,74.0,3104.6549999999997,1,2024-12,20–30%
149,170,70,2024-09-08,1,20,UPI,Rasha Khare,Female,18,Mumbai,2023-09-10,Fuchsia Handheld Console,19,48637.29,Gaming Consoles,,38909.832,0,2024-09,10–20%
