order_id,customer_id,product_id,order_date,quantity,discount,payment_method,name,gender,age,age group,region,signup_date,product_name,category_id,price,category_name,return_id,net_price,is_returned,month,month_name,discount_bin,
26,134,160,17-02-2025,5,0,UPI,Divyansh Shankar,Female,21,<25,Hyderabad,12-05-2023,Violet Laptop,4,149989.17,Laptops,,749945.85,0,2025-02,February,0%,
27,17,88,27-07-2024,4,30,Card,Ivan Rao,Male,59,45+,Pune,10-09-2022,MediumSpringGreen Notebook,5,604.3,Books,,1692.04,0,2024-07,July,20%+,
28,76,137,04-09-2024,2,25,Card,Vidur Varghese,Female,50,45+,Bengaluru,01-07-2024,Sienna Smartphone,3,62141.37,Smartphones,,93212.055,0,2024-09,September,20%+,
29,191,94,23-03-2025,3,20,UPI,Kashvi Soman,Male,42,35–44,Kolkata,11-08-2021,Yellow Electric Kettle,8,10764.87,Kitchen Appliances,150,25835.688,1,2025-03,March,10–20%,
30,198,21,25-07-2024,2,30,Card,Divij Vala,Female,47,45+,Delhi,12-08-2021,PaleGoldenRod Bracelet,16,21540.73,Jewellery,,30157.022,0,2024-07,July,20%+,
31,178,116,20-02-2025,5,15,UPI,Nitya Das,Male,28,25–34,Pune,01-04-2022,Fuchsia Diary,6,100.61,Stationery,,427.5925,0,2025-02,February,10–20%,
32,80,151,03-04-2025,4,5,UPI,Sahil Sood,Female,21,<25,Ahmedabad,03-06-2022,Tomato Jeans,1,606.7,Clothing,,2305.46,0,2025-04,April,0–10%,
33,196,28,05-09-2024,3,25,UPI,Tiya Baral,Female,57,45+,Jaipur,21-07-2021,DimGray Bracelet,16,57847.14,Jewellery,,130156.065,0,2024-09,September,20%+,
34,153,110,17-11-2024,1,10,UPI,Aarna Virk,Male,45,45+,Mumbai,12-12-2022,Peru Sandals,2,3684.08,Footwear,,3315.672,0,2024-11,November,0–10%,
35,33,198,26-01-2025,3,30,UPI,Sara Deshmukh,Male,44,35–44,Kolkata,25-06-2024,SaddleBrown Marker Pack,6,345.38,Stationery,,725.298,0,2025-01,January,20%+,
36,1,189,22-03-2025,3,5,Card,Nirvaan Kakar,Female,43,35–44,Jaipur,10-10-2021,FireBrick Cushion Cover,7,2931.85,Home Decor,123,8355.7725,1,2025-03,March,0–10%,
37,79,148,09-08-2024,1,10,Card,Ishita Kaul,Male,48,45+,Chennai,15-02-2024,Maroon Notebook,5,894.41,Books,,804.969,0,2024-08,August,0–10%,
38,128,15,07-01-2025,3,20,UPI,Urvi Thaker,Female,50,45+,Bengaluru,25-05-2022,RoyalBlue Lamp,7,3265.03,Home Decor,,7836.072,0,2025-01,January,10–20%,
39,145,50,14-10-2024,3,15,Card,Uthkarsh Bhandari,Male,40,35–44,Kolkata,03-02-2022,FireBrick Jeans,1,1568.28,Clothing,,3999.114,0,2024-10,October,10–20%,
40,171,57,27-12-2024,5,5,Card,Saksham Yadav,Female,31,25–34,Delhi,27-12-2023,MediumOrchid Puzzle,11,1512.96,Toys,,7186.56,0,2024-12,December,0–10%,
41,186,91,17-02-2025,1,15,UPI,Kiaan Badami,Female,48,45+,Mumbai,25-01-2023,DarkOrange Flipâ€‘Flops,2,2263.41,Footwear,,1923.8985,0,2025-02,February,10–20%,
42,147,35,16-01-2025,2,15,UPI,Baiju Grover,Female,26,25–34,Delhi,24-08-2021,PapayaWhip Laptop,4,88790.03,Laptops,94,150943.051,1,2025-01,January,10–20%,
43,54,149,29-05-2025,3,10,Card,Hiran Sachar,Female,54,45+,Mumbai,29-09-2021,WhiteSmoke Bluetooth Speaker,20,14318.63,Music & Instruments,,38660.301,0,2025-05,May,0–10%,
44,114,187,19-07-2024,3,5,UPI,Tanya Bhakta,Female,46,45+,Hyderabad,20-10-2022,Yellow DSLR Camera,18,225198.26,Cameras,32,641815.041,1,2024-07,July,0–10%,
45,83,104,20-06-2025,5,0,Card,Oorja Tak,Female,45,45+,Kolkata,04-09-2021,MistyRose Digital Thermometer,17,3848.38,Health & Personal Care,,19241.9,0,2025-06,June,0%,
46,84,180,04-05-2025,3,5,Cash on Delivery,Krish Shan,Male,33,25–34,Delhi,23-09-2022,GoldenRod DSLR Camera,18,219756.43,Cameras,,626305.8255,0,2025-05,May,0–10%,
47,1,140,30-09-2024,5,0,Cash on Delivery,Nirvaan Kakar,Female,43,35–44,Jaipur,10-10-2021,GhostWhite Dining Chair,14,30877.87,Furniture,,154389.35,0,2024-09,September,0%,
48,144,197,04-12-2024,5,0,Card,Vedika Bhatnagar,Female,27,25–34,Mumbai,08-09-2022,GoldenRod Bracelet,16,31238.85,Jewellery,,156194.25,0,2024-12,December,0%,
49,152,65,03-09-2024,3,20,Cash on Delivery,Fateh Kannan,Female,59,45+,Delhi,16-06-2024,PaleGoldenRod Jeans,1,2254.78,Clothing,110,5411.472,1,2024-09,September,10–20%,
50,192,169,03-07-2024,3,20,UPI,Misha Lata,Female,37,35–44,Pune,09-10-2023,Aqua Acoustic Guitar,20,37325.59,Music & Instruments,,89581.416,0,2024-07,July,10–20%,
51,186,177,16-08-2024,3,0,Card,Kiaan Badami,Female,48,45+,Mumbai,25-01-2023,LightSlateGray Seat Cover,13,705.36,Automotive Accessories,3,2116.08,1,2024-08,August,0%,
52,152,156,03-02-2025,1,25,UPI,Fateh Kannan,Female,59,45+,Delhi,16-06-2024,Turquoise Masala Pack,10,1785.23,Groceries,,1338.9225,0,2025-02,February,20%+,
53,186,3,10-10-2024,4,5,UPI,Kiaan Badami,Female,48,45+,Mumbai,25-01-2023,SandyBrown Flipâ€‘Flops,2,2375.71,Footwear,128,9027.698,1,2024-10,October,0–10%,
54,101,96,20-11-2024,4,30,UPI,Devansh Devi,Female,19,<25,Kolkata,15-04-2023,SkyBlue Dining Chair,14,20273.41,Furniture,,56765.548,0,2024-11,November,20%+,
55,192,61,11-09-2024,5,20,UPI,Misha Lata,Female,37,35–44,Pune,09-10-2023,LightGreen Mixer Grinder,8,7600.72,Kitchen Appliances,,30402.88,0,2024-09,September,10–20%,
56,169,114,24-01-2025,1,30,Card,Saira Master,Female,57,45+,Delhi,10-01-2022,Olive Electric Kettle,8,10754.22,Kitchen Appliances,148,7527.954,1,2025-01,January,20%+,
57,161,102,28-06-2025,1,20,UPI,Rasha Sibal,Male,57,45+,Pune,25-02-2022,DarkGray Smartphone,3,43187.84,Smartphones,,34550.272,0,2025-06,June,10–20%,
58,186,140,12-08-2024,2,20,UPI,Kiaan Badami,Female,48,45+,Mumbai,25-01-2023,GhostWhite Dining Chair,14,30877.87,Furniture,144,49404.592,1,2024-08,August,10–20%,
59,125,54,22-09-2024,2,30,UPI,Bhavin Sekhon,Female,30,25–34,Ahmedabad,18-04-2024,PapayaWhip Laptop,4,53113.03,Laptops,,74358.242,0,2024-09,September,20%+,
60,184,6,09-04-2025,4,25,UPI,Anaya Sehgal,Female,18,<25,Kolkata,27-02-2023,DarkSlateBlue Remote Car,11,1008.04,Toys,,3024.12,0,2025-04,April,20%+,
61,95,36,02-02-2025,1,10,UPI,Ahana  Chauhan,Female,42,35–44,Delhi,26-09-2023,Thistle Smartphone,3,42388.83,Smartphones,,38149.947,0,2025-02,February,0–10%,
62,15,118,05-05-2025,3,30,Card,Lavanya Lall,Male,19,<25,Chennai,05-05-2023,LawnGreen Cricket Bat,12,4818.19,Sports Equipment,,10118.199,0,2025-05,May,20%+,
63,65,85,13-09-2024,5,0,Card,Ishaan Chauhan,Female,31,25–34,Delhi,23-12-2023,IndianRed Smart Watch,15,5520.99,Watches,,27604.95,0,2024-09,September,0%,
64,113,51,03-07-2024,2,5,UPI,Hridaan Bassi,Male,43,35–44,Hyderabad,21-06-2023,MediumAquaMarine Smart Watch,15,6834.25,Watches,,12985.075,0,2024-07,July,0–10%,
65,140,90,16-02-2025,3,25,UPI,Aayush Jani,Female,37,35–44,Pune,31-12-2021,Plum Cricket Bat,12,6096.6,Sports Equipment,,13717.35,0,2025-02,February,20%+,
66,163,3,20-07-2024,5,20,Card,Amira Warrior,Female,57,45+,Ahmedabad,17-01-2024,SandyBrown Flipâ€‘Flops,2,2375.71,Footwear,,9502.84,0,2024-07,July,10–20%,
67,37,46,02-10-2024,1,30,UPI,Rhea Shah,Male,56,45+,Hyderabad,07-02-2024,DarkTurquoise Olive Oil,10,768.18,Groceries,,537.726,0,2024-10,October,20%+,
68,30,54,17-03-2025,2,30,Card,Riya Chatterjee,Female,34,25–34,Ahmedabad,26-08-2023,PapayaWhip Laptop,4,53113.03,Laptops,,74358.242,0,2025-03,March,20%+,
69,11,66,07-11-2024,2,10,UPI,Darshit Sem,Male,32,25–34,Bengaluru,27-06-2024,Plum Gaming Console,19,30047.65,Gaming Consoles,,54085.77,0,2024-11,November,0–10%,
70,188,137,15-03-2025,4,30,UPI,Dhanush Jaggi,Female,41,35–44,Kolkata,28-01-2024,Sienna Smartphone,3,62141.37,Smartphones,,173995.836,0,2025-03,March,20%+,
71,32,38,21-06-2025,2,5,Card,Drishya Dave,Male,30,25–34,Hyderabad,16-04-2023,Silver Action Cam,18,15050.15,Cameras,,28595.285,0,2025-06,June,0–10%,
72,2,169,22-11-2024,1,5,Card,Kiara Dhawan,Male,28,25–34,Chennai,10-05-2023,Aqua Acoustic Guitar,20,37325.59,Music & Instruments,,35459.3105,0,2024-11,November,0–10%,
73,138,114,07-11-2024,4,25,UPI,Abram Dugar,Male,44,35–44,Bengaluru,14-12-2022,Olive Electric Kettle,8,10754.22,Kitchen Appliances,,32262.66,0,2024-11,November,20%+,
74,124,180,17-04-2025,5,5,UPI,Romil Mahal,Female,43,35–44,Jaipur,03-02-2023,GoldenRod DSLR Camera,18,219756.43,Cameras,,1043843.042,0,2025-04,April,0–10%,
75,174,81,20-04-2025,2,5,UPI,Arnav Sathe,Female,47,45+,Ahmedabad,30-09-2021,PaleGoldenRod Basmati Rice,10,957.35,Groceries,,1818.965,0,2025-04,April,0–10%,
76,22,126,04-01-2025,4,5,UPI,Taimur Badami,Female,51,45+,Hyderabad,09-10-2023,MediumAquaMarine Smart Watch,15,4828.51,Watches,,18348.338,0,2025-01,January,0–10%,
77,73,107,13-08-2024,1,30,UPI,Aaina Swaminathan,Female,20,<25,Hyderabad,01-05-2024,HoneyDew Wardrobe,14,20747.94,Furniture,,14523.558,0,2024-08,August,20%+,
78,118,41,25-11-2024,1,20,Cash on Delivery,Jayesh Issac,Female,26,25–34,Jaipur,16-07-2023,PaleGreen Saree,1,2697.09,Clothing,,2157.672,0,2024-11,November,10–20%,
79,55,60,10-05-2025,3,10,UPI,Elakshi Kota,Male,44,35–44,Jaipur,03-11-2023,Teal Saree,1,1096.45,Clothing,,2960.415,0,2025-05,May,0–10%,
80,187,179,10-04-2025,4,30,Card,Lakshay Varughese,Male,38,35–44,Kolkata,25-06-2023,DeepSkyBlue Seat Cover,13,4632.7,Automotive Accessories,,12971.56,0,2025-04,April,20%+,
81,30,53,27-07-2024,5,5,NetBanking,Riya Chatterjee,Female,34,25–34,Ahmedabad,26-08-2023,Lime Digital Thermometer,17,2126.07,Health & Personal Care,,10098.8325,0,2024-07,July,0–10%,
82,181,123,19-01-2025,1,5,UPI,Neelofar Mammen,Female,38,35–44,Kolkata,09-03-2023,Gainsboro Bracelet,16,57860.63,Jewellery,,54967.5985,0,2025-01,January,0–10%,
83,89,120,11-04-2025,1,0,Card,Tiya Hayer,Male,38,35–44,Hyderabad,26-12-2023,GreenYellow Dining Chair,14,26100.44,Furniture,,26100.44,0,2025-04,April,0%,
84,21,131,04-01-2025,3,15,UPI,Badal Sha,Female,43,35–44,Hyderabad,18-11-2021,Bisque Notebook,5,269.35,Books,,686.8425,0,2025-01,January,10–20%,
85,82,148,07-09-2024,4,5,Card,Elakshi Bali,Female,59,45+,Pune,15-02-2022,Maroon Notebook,5,894.41,Books,,3398.758,0,2024-09,September,0–10%,
86,20,113,19-06-2025,5,10,UPI,Hridaan Andra,Female,31,25–34,Delhi,28-03-2023,LawnGreen DSLR Camera,18,18124.73,Cameras,28,81561.285,1,2025-06,June,0–10%,
87,113,117,11-06-2025,2,0,Cash on Delivery,Hridaan Bassi,Male,43,35–44,Hyderabad,21-06-2023,PeachPuff Building Blocks,11,1900.13,Toys,,3800.26,0,2025-06,June,0%,
88,167,22,05-12-2024,3,5,UPI,Onkar Edwin,Male,20,<25,Bengaluru,25-03-2024,MediumAquaMarine Puzzle,11,2027.87,Toys,,5779.4295,0,2024-12,December,0–10%,
89,35,43,26-08-2024,1,15,UPI,Lakshay Devan,Male,34,25–34,Ahmedabad,25-09-2023,Gray Comic,5,717.78,Books,,610.113,0,2024-08,August,10–20%,
90,29,177,04-09-2024,2,25,NetBanking,Prerak Bhasin,Male,48,45+,Chennai,22-02-2022,LightSlateGray Seat Cover,13,705.36,Automotive Accessories,,1058.04,0,2024-09,September,20%+,
91,110,157,09-12-2024,4,15,UPI,Rasha Bhagat,Male,23,<25,Pune,21-06-2023,DarkOrange DSLR Camera,18,101723.41,Cameras,,345859.594,0,2024-12,December,10–20%,
92,56,76,27-01-2025,3,15,UPI,Manikya Ganesan,Male,25,25–34,Mumbai,22-06-2024,Navy Face Cream,9,1726.03,Beauty,,4401.3765,0,2025-01,January,10–20%,
93,116,163,29-10-2024,5,0,UPI,Tarini Hora,Female,39,35–44,Bengaluru,22-03-2024,MediumBlue Lipstick,9,346.17,Beauty,,1730.85,0,2024-10,October,0%,
94,183,57,19-07-2024,1,30,UPI,Vidur Setty,Male,26,25–34,Bengaluru,04-08-2023,MediumOrchid Puzzle,11,1512.96,Toys,,1059.072,0,2024-07,July,20%+,
95,181,159,04-03-2025,1,25,Card,Neelofar Mammen,Female,38,35–44,Kolkata,09-03-2023,LightSalmon Pen Set,6,214.12,Stationery,,160.59,0,2025-03,March,20%+,
96,176,120,03-08-2024,5,0,Card,Vedika Sawhney,Male,56,45+,Ahmedabad,06-01-2023,GreenYellow Dining Chair,14,26100.44,Furniture,,130502.2,0,2024-08,August,0%,
97,67,182,26-06-2025,1,30,UPI,Himmat Rajan,Female,55,45+,Pune,20-10-2023,LightGreen Building Blocks,11,2395.42,Toys,,1676.794,0,2025-06,June,20%+,
98,183,39,27-12-2024,2,25,NetBanking,Vidur Setty,Male,26,25–34,Bengaluru,04-08-2023,RosyBrown Puzzle,11,3353.03,Toys,,5029.545,0,2024-12,December,20%+,
99,32,88,16-07-2024,4,10,UPI,Drishya Dave,Male,30,25–34,Hyderabad,16-04-2023,MediumSpringGreen Notebook,5,604.3,Books,,2175.48,0,2024-07,July,0–10%,
100,58,40,21-10-2024,1,0,UPI,Manjari Kohli,Female,32,25–34,Ahmedabad,06-12-2022,Cornsilk Formal Shoes,2,1948.25,Footwear,,1948.25,0,2024-10,October,0%,
101,78,115,13-06-2025,3,30,UPI,Heer Kibe,Male,50,45+,Pune,21-01-2022,PaleGreen Wardrobe,14,14528.77,Furniture,,30510.417,0,2025-06,June,20%+,
102,69,103,27-10-2024,2,10,Card,Gatik Chandra,Male,20,<25,Chennai,03-11-2023,DarkBlue Action Cam,18,203384.45,Cameras,,366092.01,0,2024-10,October,0–10%,
103,28,80,03-10-2024,3,15,UPI,Hunar Bhasin,Male,34,25–34,Mumbai,15-04-2024,Teal Car Vacuum,13,4769.56,Automotive Accessories,126,12162.378,1,2024-10,October,10–20%,
104,72,193,21-02-2025,4,20,Card,Piya Khanna,Female,32,25–34,Kolkata,18-02-2023,DarkGray Action Cam,18,177715.85,Cameras,119,568690.72,1,2025-02,February,10–20%,
105,109,22,09-11-2024,4,15,UPI,Jayan Ahluwalia,Female,37,35–44,Delhi,25-08-2023,MediumAquaMarine Puzzle,11,2027.87,Toys,,6894.758,0,2024-11,November,10–20%,
106,60,142,04-02-2025,1,0,NetBanking,Tejas Varkey,Female,50,45+,Jaipur,16-05-2024,LightSlateGray Seat Cover,13,6336.76,Automotive Accessories,,6336.76,0,2025-02,February,0%,
107,13,14,18-06-2025,1,30,NetBanking,Dishani Kaul,Male,37,35–44,Jaipur,04-03-2023,DimGray Remote Car,11,2843.94,Toys,,1990.758,0,2025-06,June,20%+,
108,18,119,01-02-2025,1,5,UPI,Abram Butala,Male,35,35–44,Pune,16-03-2023,Olive Study Table,14,23953.3,Furniture,,22755.635,0,2025-02,February,0–10%,
109,179,114,14-05-2025,2,0,Cash on Delivery,Lakshay Lall,Male,42,35–44,Ahmedabad,14-07-2023,Olive Electric Kettle,8,10754.22,Kitchen Appliances,,21508.44,0,2025-05,May,0%,
110,50,187,17-07-2024,3,10,UPI,Seher Wali,Female,55,45+,Hyderabad,03-07-2022,Yellow DSLR Camera,18,225198.26,Cameras,,608035.302,0,2024-07,July,0–10%,
111,43,195,19-09-2024,5,20,UPI,Anaya Sachdev,Male,50,45+,Jaipur,26-11-2021,BlueViolet Digital Thermometer,17,5870.29,Health & Personal Care,,23481.16,0,2024-09,September,10–20%,
112,85,198,10-07-2024,2,25,Card,Vanya Sama,Female,45,45+,Kolkata,20-03-2023,SaddleBrown Marker Pack,6,345.38,Stationery,,518.07,0,2024-07,July,20%+,
113,46,45,01-01-2025,5,0,Card,Pranay Sharma,Male,55,45+,Jaipur,23-07-2023,DarkRed Phone Mount,13,2587.08,Automotive Accessories,,12935.4,0,2025-01,January,0%,
114,24,75,02-01-2025,5,30,Cash on Delivery,Badal Bhatia,Female,24,<25,Hyderabad,26-10-2021,MediumAquaMarine Flipâ€‘Flops,2,1812.67,Footwear,,6344.345,0,2025-01,January,20%+,
115,5,11,08-04-2025,5,0,UPI,Reyansh Gandhi,Female,37,35–44,Ahmedabad,31-01-2024,Snow Novel,5,397.74,Books,86,1988.7,1,2025-04,April,0%,
116,158,66,13-07-2024,1,25,Card,Nishith Soman,Female,38,35–44,Delhi,17-05-2024,Plum Gaming Console,19,30047.65,Gaming Consoles,,22535.7375,0,2024-07,July,20%+,
117,43,60,04-06-2025,5,25,Card,Anaya Sachdev,Male,50,45+,Jaipur,26-11-2021,Teal Saree,1,1096.45,Clothing,,4111.6875,0,2025-06,June,20%+,
118,53,57,19-02-2025,3,5,UPI,Vedika Upadhyay,Female,24,<25,Chennai,10-08-2023,MediumOrchid Puzzle,11,1512.96,Toys,,4311.936,0,2025-02,February,0–10%,
119,152,64,12-02-2025,1,15,Card,Fateh Kannan,Female,59,45+,Delhi,16-06-2024,LightGray Silver Necklace,16,58660.11,Jewellery,,49861.0935,0,2025-02,February,10–20%,
120,103,88,03-11-2024,3,10,UPI,Samaira Bhagat,Male,55,45+,Hyderabad,07-09-2023,MediumSpringGreen Notebook,5,604.3,Books,,1631.61,0,2024-11,November,0–10%,
121,142,24,29-06-2025,4,10,UPI,Mohanlal Devan,Male,37,35–44,Hyderabad,09-01-2023,Brown Building Blocks,11,822.9,Toys,,2962.44,0,2025-06,June,0–10%,
122,164,97,29-06-2025,3,10,UPI,Baiju Sangha,Male,26,25–34,Chennai,12-06-2024,LightPink Acoustic Guitar,20,20123.48,Music & Instruments,,54333.396,0,2025-06,June,0–10%,
123,154,146,27-07-2024,5,15,UPI,Ehsaan Bahri,Male,25,25–34,Pune,02-09-2022,MistyRose Bluetooth Speaker,20,36688.33,Music & Instruments,,155925.4025,0,2024-07,July,10–20%,
124,13,104,26-09-2024,4,30,UPI,Dishani Kaul,Male,37,35–44,Jaipur,04-03-2023,MistyRose Digital Thermometer,17,3848.38,Health & Personal Care,,10775.464,0,2024-09,September,20%+,
125,21,21,16-02-2025,5,0,Card,Badal Sha,Female,43,35–44,Hyderabad,18-11-2021,PaleGoldenRod Bracelet,16,21540.73,Jewellery,,107703.65,0,2025-02,February,0%,
126,90,66,11-05-2025,2,20,UPI,Kiara Ravi,Male,49,45+,Ahmedabad,17-08-2022,Plum Gaming Console,19,30047.65,Gaming Consoles,,48076.24,0,2025-05,May,10–20%,
127,98,115,11-03-2025,5,20,UPI,Mishti Mani,Male,19,<25,Ahmedabad,26-05-2022,PaleGreen Wardrobe,14,14528.77,Furniture,,58115.08,0,2025-03,March,10–20%,
128,40,55,21-07-2024,4,30,Card,Ivana Wason,Female,55,45+,Kolkata,14-06-2024,WhiteSmoke Gaming Console,19,16921.41,Gaming Consoles,,47379.948,0,2024-07,July,20%+,
129,43,191,16-03-2025,5,30,UPI,Anaya Sachdev,Male,50,45+,Jaipur,26-11-2021,LightSeaGreen Cricket Bat,12,9463.9,Sports Equipment,,33123.65,0,2025-03,March,20%+,
130,59,196,20-07-2024,4,25,Card,Vardaniya Varkey,Female,24,<25,Ahmedabad,12-11-2022,Yellow Flipâ€‘Flops,2,3289.1,Footwear,,9867.3,0,2024-07,July,20%+,
131,49,74,23-06-2025,2,30,Card,Drishya Magar,Female,35,35–44,Ahmedabad,11-11-2023,Peru Wall Art,7,2034.4,Home Decor,,2848.16,0,2025-06,June,20%+,
132,175,43,08-09-2024,5,30,Cash on Delivery,Inaaya  Kata,Female,42,35–44,Kolkata,19-06-2024,Gray Comic,5,717.78,Books,1,2512.23,1,2024-09,September,20%+,
133,147,142,01-11-2024,4,25,UPI,Baiju Grover,Female,26,25–34,Delhi,24-08-2021,LightSlateGray Seat Cover,13,6336.76,Automotive Accessories,,19010.28,0,2024-11,November,20%+,
134,140,78,07-04-2025,4,5,UPI,Aayush Jani,Female,37,35–44,Pune,31-12-2021,MediumSlateBlue Basmati Rice,10,1820.11,Groceries,,6916.418,0,2025-04,April,0–10%,
135,36,154,29-05-2025,4,25,Card,Amani Sankaran,Male,46,45+,Bengaluru,29-09-2023,Crimson Smartphone,3,23248.77,Smartphones,95,69746.31,1,2025-05,May,20%+,
136,122,11,05-09-2024,4,10,Card,Shray Lata,Male,49,45+,Hyderabad,17-01-2022,Snow Novel,5,397.74,Books,,1431.864,0,2024-09,September,0–10%,
137,94,89,30-04-2025,5,0,UPI,Jayant Kadakia,Female,31,25–34,Pune,23-05-2024,SaddleBrown Bracelet,16,12010.04,Jewellery,,60050.2,0,2025-04,April,0%,
138,108,159,05-06-2025,1,5,UPI,Anahita Baral,Female,48,45+,Mumbai,20-03-2023,LightSalmon Pen Set,6,214.12,Stationery,,203.414,0,2025-06,June,0–10%,
139,33,159,30-11-2024,3,30,Cash on Delivery,Sara Deshmukh,Male,44,35–44,Kolkata,25-06-2024,LightSalmon Pen Set,6,214.12,Stationery,5,449.652,1,2024-11,November,20%+,
140,108,43,16-01-2025,4,25,Card,Anahita Baral,Female,48,45+,Mumbai,20-03-2023,Gray Comic,5,717.78,Books,,2153.34,0,2025-01,January,20%+,
141,127,100,12-12-2024,1,15,Cash on Delivery,Piya Lalla,Male,49,45+,Chennai,12-08-2023,LightSalmon Digital Thermometer,17,1885.24,Health & Personal Care,,1602.454,0,2024-12,December,10–20%,
142,87,89,05-11-2024,5,15,UPI,Damini Varghese,Male,39,35–44,Jaipur,26-01-2022,SaddleBrown Bracelet,16,12010.04,Jewellery,,51042.67,0,2024-11,November,10–20%,
